ID Sach,Title,Link,Author,Rate,Description
12212554,Chuyện Cổ Tích Dành Cho Người Lớn,https://www.goodreads.com/book/show/12212554-chuy-n-c-t-ch-d-nh-cho-ng-i-l-n,Nguyễn Nhật Ánh,3.61,"Hẳn bạn đọc ở lứa tuổi học trò đã từng quen thuộc với tác giả Nguyễn Nhật Anh với những truyện ngắn và truyện dài đậm chất học trò như: Trại hoa vàng, Chú bé rắc rối, Phòng trọ ba người, Bồ câu không đưa thư, Những chàng trai xấu tính, Cô gái đến từ hôm qua, Trước vòng chung kết, Hạ đỏ, Hoa hồng xứ khác, Buổi chiều Windows, Ut Quyên và tôi... Với lối viết dung dị và cách c"
8154805,Những Chàng Trai Xấu Tính,https://www.goodreads.com/book/show/8154805-nh-ng-ch-ng-trai-x-u-t-nh,Nguyễn Nhật Ánh,3.57,"Từ những lần gặp gỡ thường xuyên ở hồ bơi, có một cuộc chiến tranh tưởng bùng nổ giữa hai chàng trai vốn là “chiến hữu”. Tất cả chỉ là vì một cô gái có hành tung khó hiểu và tính nết thay đổi liên tục. Sự hiểu lầm ấy may thay không kéo dài lâu quá, bởi vì sau cùng hai chàng trai xấu tính ấy hiểu ra, họ đang yêu hai chị em sinh đôi."
50847731,Làm Bạn Với Bầu Trời,https://www.goodreads.com/book/show/50847731-l-m-b-n-v-i-b-u-tr-i,Nguyễn Nhật Ánh,4.21,"Một câu chuyện giản dị, chứa đầy bất ngờ cho tới trang cuối cùng. Và đẹp lộng lẫy, vì lòng vị tha và tình yêu thương, khiến mắt rưng rưng vì một nỗi mừng vui hân hoan. Cuốn sách như một đốm lửa thắp lên lòng khát khao sống tốt trên đời.Viết về điều tốt đã không dễ, viết sao cho người đọc có thể đón nhận đầy cảm xúc tích cực, và muốn được hưởng, được làm những điều tốt dù n"
13103979,Những Cô Em Gái,https://www.goodreads.com/book/show/13103979-nh-ng-c-em-g-i,Nguyễn Nhật Ánh,3.6,"Khoa từ quê ra thành phố học, tấp tểnh làm thơ được đăng báo và bắt đầu nổi tiếng trong giới học sinh. Nhờ thế, Khoa được các bạn trai trong lớp hâm mộ, nhờ làm thơ tặng em gái mình, thực tế là dùng thơ ấy tặng bạn gái hoặc người yêu. Run rủi thế nào, những bài thơ ấy được truyền tay qua một con đường vòng nào đó lại đến tay Quyên, cô gái mà Khoa thầm yêu trộm nhớ và những"
18514396,Thiên thần nhỏ của tôi,https://www.goodreads.com/book/show/18514396-thi-n-th-n-nh-c-a-t-i,Nguyễn Nhật Ánh,3.83,"Khi dọn về ngôi nhà mới, Kha có một cô bạn nghèo sống trong ngõ hẻm gần đó. Khu vườn và ngôi biệt thự mà cha mẹ Kha được cấp không ngờ là nơi quen thuộc của Hồng Hoa, cứ như cô ấy đã gắn bó với nó từ lâu rồi. Vì thế, dù bị chủ nhà mới ngăn cấm, cô vẫn lén lút tìm vào khu vườn, để rồi gặp phải tai nạn... Và…"
20934561,Út Quyên Và Tôi,https://www.goodreads.com/book/show/20934561-t-quy-n-v-t-i,Nguyễn Nhật Ánh,3.57,"Tập truyện ngắn với 12 câu chuyện là 12 niềm vui, 12 kỉ niệm dễ thương, 12 bài học giản dị mà sâu sắc… Gặp trong tập truyện này những hình ảnh rất dễ thương, những lời thoại rất học trò…"
22057050,Chú Bé Rắc Rối,https://www.goodreads.com/book/show/22057050-ch-b-r-c-r-i,Nguyễn Nhật Ánh,3.63,"Không biết các bạn như thế nào, chứ tôi thì tôi chưa từng lo cho ai bao giờ. Tôi lo cho chính tôi còn chưa xong nữa là. (mới mở đầu truyện thì nhân vật chính đã tâm sự như vậy rồi, nghe thấy RẮC RỐI). Thực sự thì làm sao, vẫn là giọng văn “đọc tức cười”, cách thắt nút, mở nút đầy bất ngờ của tác giả dẫn ta đi hết rắc rối này đến rắc rối khác. Đọc rắc rối nhưng mà thấy thú "
15938564,Người Quảng đi ăn mì Quảng,https://www.goodreads.com/book/show/15938564-ng-i-qu-ng-i-n-m-qu-ng,Nguyễn Nhật Ánh,3.77,"Tạp văn của Nguyễn Nhật Ánh không chỉ luận bàn về mì Quảng. Anh nói đủ mọi thứ trên trời dưới bể. Từ món ăn đến thư pháp, từ sân khấu đến điện ảnh, từ chuyện ở nhà đến chuyện cơ quan, từ chuyện siêu thị đến chuyện phố xá, từ chuyện Sài Gòn đến chuyện miền Tây... Anh luận bàn đủ thứ: từ lớn đến nhỏ, từ đồ giả đến cuộc náo loạn Hollywood, từ quạt Cophaco đến quạt Ba Tiêu... "
12296843,Pho Tượng Của Baltalon,https://www.goodreads.com/book/show/12296843-pho-t-ng-c-a-baltalon,Nguyễn Nhật Ánh,4.03,Phần 1: Pho tượng của Batalon (5 quyển)Phần 2: Biến cố ở trường Đămri (7 quyển)Phần 3: Chủ nhân núi Lưng Chừng (8 quyển)Phần 4: Báu vật ở lâu đài K’Rahlan (8 quyển)
15938588,Sương khói quê nhà,https://www.goodreads.com/book/show/15938588-s-ng-kh-i-qu-nh,Nguyễn Nhật Ánh,3.7,"Có thể đặt tên nôm na 3 phần theo số thứ tự trong cuốn Tạp văn mới của Nguyễn Nhật Ánh “Sương khói quê nhà”: Tình quê, Người thân, và Những chuyến đi.34 bài báo, viết từ 2010 đến nay, về các đề tài khác nhau. Những nhớ thương miền quê nghèo Quảng Nam qua kỷ niệm thời thơ bé; tình đời , tình người; tình thâm với bạn văn và những người mà anh yêu quý. Là những suy ngẫm của a"
